Algoritmo,Tipo,Tamanho,Tempo(ms),Threads
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,0,4
Quick Sort,Sequencial,1000,5,1
Quick Sort,Paralelo,1000,0,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,0,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,16,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,0,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,0,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,0,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,26,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,5,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,0,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,0,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,0,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,0,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,0,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,0,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,0,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,0,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,16,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,0,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,0,4
Bubble Sort,Sequencial,5000,15,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,0,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,0,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,5000,16,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,0,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,0,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,5000,16,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,0,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,0,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,5000,16,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,0,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,15,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,5000,10,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,6,1
Quick Sort,Paralelo,5000,0,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,0,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,10000,79,1
Bubble Sort,Paralelo,10000,0,4
Quick Sort,Sequencial,10000,0,1
Quick Sort,Paralelo,10000,0,4
Merge Sort,Sequencial,10000,0,1
Merge Sort,Paralelo,10000,0,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,10000,69,1
Bubble Sort,Paralelo,10000,16,4
Quick Sort,Sequencial,10000,0,1
Quick Sort,Paralelo,10000,0,4
Merge Sort,Sequencial,10000,0,1
Merge Sort,Paralelo,10000,0,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,10000,74,1
Bubble Sort,Paralelo,10000,16,4
Quick Sort,Sequencial,10000,0,1
Quick Sort,Paralelo,10000,0,4
Merge Sort,Sequencial,10000,0,1
Merge Sort,Paralelo,10000,0,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,10000,78,1
Bubble Sort,Paralelo,10000,0,4
Quick Sort,Sequencial,10000,0,1
Quick Sort,Paralelo,10000,0,4
Merge Sort,Sequencial,10000,0,1
Merge Sort,Paralelo,10000,0,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,10000,89,1
Bubble Sort,Paralelo,10000,1,4
Quick Sort,Sequencial,10000,0,1
Quick Sort,Paralelo,10000,0,4
Merge Sort,Sequencial,10000,0,1
Merge Sort,Paralelo,10000,4,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,20000,382,1
Bubble Sort,Paralelo,20000,0,4
Quick Sort,Sequencial,20000,0,1
Quick Sort,Paralelo,20000,0,4
Merge Sort,Sequencial,20000,0,1
Merge Sort,Paralelo,20000,16,4
Counting Sort,Sequencial,20000,0,1
Counting Sort,Paralelo,20000,0,4
Bubble Sort,Sequencial,20000,377,1
Bubble Sort,Paralelo,20000,0,4
Quick Sort,Sequencial,20000,1,1
Quick Sort,Paralelo,20000,0,4
Merge Sort,Sequencial,20000,0,1
Merge Sort,Paralelo,20000,0,4
Counting Sort,Sequencial,20000,0,1
Counting Sort,Paralelo,20000,0,4
Bubble Sort,Sequencial,20000,378,1
Bubble Sort,Paralelo,20000,0,4
Quick Sort,Sequencial,20000,0,1
Quick Sort,Paralelo,20000,0,4
Merge Sort,Sequencial,20000,0,1
Merge Sort,Paralelo,20000,0,4
Counting Sort,Sequencial,20000,0,1
Counting Sort,Paralelo,20000,15,4
Bubble Sort,Sequencial,20000,383,1
Bubble Sort,Paralelo,20000,0,4
Quick Sort,Sequencial,20000,0,1
Quick Sort,Paralelo,20000,0,4
Merge Sort,Sequencial,20000,0,1
