Algoritmo,Tipo,Tamanho,Tempo(ms),Threads
Bubble Sort,Sequencial,1000,4,1
Bubble Sort,Paralelo,1000,13,4
Quick Sort,Sequencial,1000,2,1
Quick Sort,Paralelo,1000,8,4
Merge Sort,Sequencial,1000,2,1
Merge Sort,Paralelo,1000,14,4
Counting Sort,Sequencial,1000,4,1
Counting Sort,Paralelo,1000,8,4
Bubble Sort,Sequencial,1000,10,1
Bubble Sort,Paralelo,1000,7,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,4,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,9,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,40,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,2,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,4,4
Merge Sort,Sequencial,1000,2,1
Merge Sort,Paralelo,1000,3,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,0,4
Bubble Sort,Sequencial,1000,0,1
Bubble Sort,Paralelo,1000,4,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,2,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,4,4
Counting Sort,Sequencial,1000,2,1
Counting Sort,Paralelo,1000,2,4
Bubble Sort,Sequencial,1000,2,1
Bubble Sort,Paralelo,1000,6,4
Quick Sort,Sequencial,1000,0,1
Quick Sort,Paralelo,1000,5,4
Merge Sort,Sequencial,1000,0,1
Merge Sort,Paralelo,1000,5,4
Counting Sort,Sequencial,1000,0,1
Counting Sort,Paralelo,1000,8,4
Bubble Sort,Sequencial,5000,36,1
Bubble Sort,Paralelo,5000,0,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,7,4
Merge Sort,Sequencial,5000,2,1
Merge Sort,Paralelo,5000,4,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,2,4
Bubble Sort,Sequencial,5000,32,1
Bubble Sort,Paralelo,5000,10,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,4,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,6,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,0,4
Bubble Sort,Sequencial,5000,36,1
Bubble Sort,Paralelo,5000,4,4
Quick Sort,Sequencial,5000,1,1
Quick Sort,Paralelo,5000,3,4
Merge Sort,Sequencial,5000,0,1
Merge Sort,Paralelo,5000,3,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,1,4
Bubble Sort,Sequencial,5000,46,1
Bubble Sort,Paralelo,5000,6,4
Quick Sort,Sequencial,5000,1,1
Quick Sort,Paralelo,5000,39,4
Merge Sort,Sequencial,5000,2,1
Merge Sort,Paralelo,5000,4,4
Counting Sort,Sequencial,5000,0,1
Counting Sort,Paralelo,5000,4,4
Bubble Sort,Sequencial,5000,35,1
Bubble Sort,Paralelo,5000,5,4
Quick Sort,Sequencial,5000,0,1
Quick Sort,Paralelo,5000,4,4
Merge Sort,Sequencial,5000,1,1
Merge Sort,Paralelo,5000,4,4
Counting Sort,Sequencial,5000,1,1
Counting Sort,Paralelo,5000,5,4
Bubble Sort,Sequencial,10000,218,1
Bubble Sort,Paralelo,10000,2,4
Quick Sort,Sequencial,10000,1,1
Quick Sort,Paralelo,10000,4,4
Merge Sort,Sequencial,10000,3,1
Merge Sort,Paralelo,10000,5,4
Counting Sort,Sequencial,10000,1,1
Counting Sort,Paralelo,10000,7,4
Bubble Sort,Sequencial,10000,131,1
Bubble Sort,Paralelo,10000,2,4
Quick Sort,Sequencial,10000,2,1
Quick Sort,Paralelo,10000,3,4
Merge Sort,Sequencial,10000,3,1
Merge Sort,Paralelo,10000,3,4
Counting Sort,Sequencial,10000,1,1
Counting Sort,Paralelo,10000,0,4
Bubble Sort,Sequencial,10000,150,1
Bubble Sort,Paralelo,10000,2,4
Quick Sort,Sequencial,10000,4,1
Quick Sort,Paralelo,10000,4,4
Merge Sort,Sequencial,10000,2,1
Merge Sort,Paralelo,10000,3,4
Counting Sort,Sequencial,10000,0,1
Counting Sort,Paralelo,10000,1,4
Bubble Sort,Sequencial,10000,172,1
Bubble Sort,Paralelo,10000,3,4
Quick Sort,Sequencial,10000,1,1
